mc	mn	quarterbeats	quarterbeats_all_endings	duration_qb	mc_onset	mn_onset	timesig	staff	voice	duration	nominal_duration	scalar	tied	tpc	midi	name	octave	chord_id
14	12	34	34	1.0	0	0	3/4	2	1	1/4	1/4	1		3	57	A3	3	105
14	12	34	34	3.0	0	0	3/4	1	2	3/4	1/2	3/2	-1	2	74	D5	5	104
14	12	34	34	0.5	0	0	3/4	1	1	1/8	1/8	1	-1	11	77	E#5	5	98
14	12	69/2	69/2	0.5	1/8	1/8	3/4	1	1	1/8	1/8	1		6	78	F#5	5	99
14	12	35	35	1.0	1/4	1/4	3/4	2	1	1/4	1/4	1		2	62	D4	4	106
14	12	35	35	1.0	1/4	1/4	3/4	2	1	1/4	1/4	1		6	66	F#4	4	106
14	12	35	35	1.0	1/4	1/4	3/4	2	1	1/4	1/4	1		3	69	A4	4	106
14	12	35	35	0.5	1/4	1/4	3/4	1	1	1/8	1/8	1		1	79	G5	5	100
14	12	71/2	71/2	0.5	3/8	3/8	3/4	1	1	1/8	1/8	1		3	81	A5	5	101
14	12	36	36	1.0	1/2	1/2	3/4	2	1	1/4	1/4	1		2	62	D4	4	107
14	12	36	36	1.0	1/2	1/2	3/4	2	1	1/4	1/4	1		6	66	F#4	4	107
14	12	36	36	1.0	1/2	1/2	3/4	2	1	1/4	1/4	1		3	69	A4	4	107
14	12	36	36	0.5	1/2	1/2	3/4	1	1	1/8	1/8	1		5	83	B5	5	102
14	12	73/2	73/2	0.5	5/8	5/8	3/4	1	1	1/8	1/8	1		3	81	A5	5	103
15	13	37	37	1.0	0	0	3/4	2	1	1/4	1/4	1		3	45	A2	2	112
15	13	37	37	0.5	0	0	3/4	1	1	1/8	1/8	1		1	67	G4	4	108
15	13	37	37	0.5	0	0	3/4	1	1	1/8	1/8	1		7	73	C#5	5	108
15	13	75/2	75/2	0.5	1/8	1/8	3/4	1	1	1/8	1/8	1		1	79	G5	5	109
15	13	38	38	1.0	1/4	1/4	3/4	2	1	1/4	1/4	1		3	57	A3	3	113
15	13	38	38	1.0	1/4	1/4	3/4	2	1	1/4	1/4	1		4	64	E4	4	113
15	13	38	38	1.0	1/4	1/4	3/4	1	1	1/4	1/4	1		1	67	G4	4	110
15	13	38	38	1.0	1/4	1/4	3/4	1	1	1/4	1/4	1		7	73	C#5	5	110
15	13	39	39	1.0	1/2	1/2	3/4	2	1	1/4	1/4	1		3	57	A3	3	114
15	13	39	39	1.0	1/2	1/2	3/4	2	1	1/4	1/4	1		4	64	E4	4	114
15	13	39	39	1.0	1/2	1/2	3/4	1	1	1/4	1/4	1		1	67	G4	4	111
15	13	39	39	1.0	1/2	1/2	3/4	1	1	1/4	1/4	1		7	73	C#5	5	111
16	14	40	40	1.0	0	0	3/4	2	1	1/4	1/4	1		2	50	D3	3	122
16	14	40	40	3.0	0	0	3/4	1	2	3/4	1/2	3/2		6	66	F#4	4	121
16	14	40	40	0.5	0	0	3/4	1	1	1/8	1/8	1		2	74	D5	5	115
16	14	81/2	81/2	0.5	1/8	1/8	3/4	1	1	1/8	1/8	1		6	78	F#5	5	116
16	14	41	41	1.0	1/4	1/4	3/4	2	1	1/4	1/4	1		6	54	F#3	3	123
16	14	41	41	1.0	1/4	1/4	3/4	2	1	1/4	1/4	1		2	62	D4	4	123
16	14	41	41	0.5	1/4	1/4	3/4	1	1	1/8	1/8	1		8	80	G#5	5	117
16	14	83/2	83/2	0.5	3/8	3/8	3/4	1	1	1/8	1/8	1		3	81	A5	5	118
16	14	42	42	1.0	1/2	1/2	3/4	2	1	1/4	1/4	1		6	54	F#3	3	124
16	14	42	42	1.0	1/2	1/2	3/4	2	1	1/4	1/4	1		2	62	D4	4	124
16	14	42	42	0.5	1/2	1/2	3/4	1	1	1/8	1/8	1		5	83	B5	5	119
16	14	85/2	85/2	0.5	5/8	5/8	3/4	1	1	1/8	1/8	1		3	81	A5	5	120
17	15	43	43	1.0	0	0	3/4	2	1	1/4	1/4	1		3	45	A2	2	129
17	15	43	43	0.5	0	0	3/4	1	1	1/8	1/8	1		1	67	G4	4	125
17	15	43	43	0.5	0	0	3/4	1	1	1/8	1/8	1		7	73	C#5	5	125
17	15	87/2	87/2	0.5	1/8	1/8	3/4	1	1	1/8	1/8	1		1	79	G5	5	126
17	15	44	44	1.0	1/4	1/4	3/4	2	1	1/4	1/4	1		3	57	A3	3	130
17	15	44	44	1.0	1/4	1/4	3/4	2	1	1/4	1/4	1		4	64	E4	4	130
17	15	44	44	1.0	1/4	1/4	3/4	1	1	1/4	1/4	1		1	67	G4	4	127
17	15	44	44	1.0	1/4	1/4	3/4	1	1	1/4	1/4	1		7	73	C#5	5	127
17	15	45	45	1.0	1/2	1/2	3/4	2	1	1/4	1/4	1		3	57	A3	3	131
17	15	45	45	1.0	1/2	1/2	3/4	2	1	1/4	1/4	1		4	64	E4	4	131
17	15	45	45	1.0	1/2	1/2	3/4	1	1	1/4	1/4	1		1	67	G4	4	128
17	15	45	45	1.0	1/2	1/2	3/4	1	1	1/4	1/4	1		7	73	C#5	5	128
18	16	46	46	2.0	0	0	3/4	2	1	1/2	1/2	1		2	50	D3	3	133
18	16	46	46	2.0	0	0	3/4	2	1	1/2	1/2	1		6	54	F#3	3	133
18	16	46	46	2.0	0	0	3/4	2	1	1/2	1/2	1		2	62	D4	4	133
18	16	46	46	2.0	0	0	3/4	1	1	1/2	1/2	1		6	66	F#4	4	132
18	16	46	46	2.0	0	0	3/4	1	1	1/2	1/2	1		2	74	D5	5	132
